m_a,BR(h->aa->4tau) limit,xsec*BR limit (xsec = xsec_SM_125)
4.0,0.368,7.100
5.0,0.535,10.300
6.0,0.446,8.600
7.0,0.259,5.000
8.0,0.234,4.500
,,
Light yellow = numbers taken from paper/plot,,
All cross-sections in pb,,
