,m_a,br_4tau,xsec_br_4tau,xsec_br_2tau2mu,xsec_br_4mu,br_2tau2mu,br_4mu
0,5.0,26.0,558.84,5.65202969159,0.014290959682,0.262960367872,0.000664886106454
1,7.0,0.491,10.553,0.0872126529128,0.000180186838531,0.00405774780443,8.38356275172e-06
2,9.0,0.23,4.944,0.0383249184507,7.42718130183e-05,0.00178291489556,3.4552016574e-06
3,11.0,0.165,3.546,0.0266885740873,5.02171451503e-05,0.0012418541242,2.33666919058e-06
4,13.0,0.171,3.675,0.0272147006675,5.03836688723e-05,0.00126631668412,2.34438295977e-06
5,15.0,0.254,5.459,0.0400273278835,7.33736479892e-05,0.0018624182602,3.41397812589e-06
