,m_a,br_4tau,xsec_br_4tau,xsec_br_2tau2mu,xsec_br_4mu,br_2tau2mu,br_4mu
0,3.7208100168,0.0358579853762,0.6909833782,0.0165045841566,9.85556623993e-05,0.000856491134228,5.11446094444e-06
1,3.77964245044,0.0376420950945,0.72536317247,0.0150956048397,7.85390319373e-05,0.000783373369988,4.07571520173e-06
2,3.83639467329,0.0410144223846,0.790347919351,0.0148798142423,7.00352548747e-05,0.00077217510339,3.63441903865e-06
3,3.89399904416,0.0451355083949,0.86976124677,0.015098478332,6.55248922585e-05,0.000783522487388,3.4003576678e-06
4,3.95556989549,0.0488783201537,0.941885229363,0.015227518493,6.15460653344e-05,0.000790218915051,3.19387988243e-06
5,4.02442286295,0.048364762301,0.931988969541,0.0141048737533,5.3366367548e-05,0.00073196023629,2.76940153337e-06
6,4.09126387418,0.0484887155078,0.934377547835,0.0133971295497,4.80220978631e-05,0.000695232462364,2.49206527572e-06
7,4.14185141836,0.0532390278553,1.02591606677,0.0141921858725,4.90825093699e-05,0.000736491223276,2.54709441463e-06
8,4.17155829144,0.0595587429053,1.14769697578,0.0155729182233,5.2826614321e-05,0.000808143135613,2.74139150602e-06
9,4.19572787164,0.0656327844109,1.2647437556,0.0169072210316,5.65043554763e-05,0.000877385626964,2.93224470557e-06
10,4.25157540394,0.0726032132847,1.39906392,0.0181150099162,5.86380614164e-05,0.000940062787557,3.04297153173e-06
11,4.31203012283,0.071049342562,1.36912083117,0.0171836675743,5.39175258646e-05,0.000891731581439,2.79800341798e-06
12,4.35281008886,0.0637916106622,1.22926433746,0.0151336822406,4.65783337197e-05,0.000785349363809,2.41714238296e-06
13,4.38364795815,0.0581497680922,1.12054603114,0.0136066667327,4.13060629437e-05,0.000706106213423,2.14354244648e-06
14,4.44946946616,0.0544727341085,1.04968958627,0.0124032839948,3.66397494716e-05,0.000643657706009,1.90138814072e-06
15,4.52691953896,0.0569540386264,1.09750432433,0.0125987376687,3.61566208274e-05,0.000653800605537,1.87631659717e-06
16,4.59489230355,0.0624684418089,1.20376687366,0.0135050149096,3.78780625424e-05,0.000700831079894,1.96564932758e-06
17,4.66388569524,0.0675106005224,1.30092927207,0.014287326974,3.92272886091e-05,0.00074142848853,2.03566624852e-06
18,4.74506802256,0.0674217915078,1.29921792236,0.0139460569831,3.74249196439e-05,0.000723718577225,1.94213386839e-06
19,4.82766345705,0.06755759748,1.30183490344,0.0136819564674,3.59484778526e-05,0.000710013309155,1.86551519733e-06
20,4.89630978446,0.0736589821273,1.41940858559,0.0146787831106,3.79500793137e-05,0.000761742766506,1.9693865757e-06
21,4.95426010833,0.0811874109832,1.56448140965,0.0159743579098,4.07771081615e-05,0.000828975501288,2.11609279509e-06
22,5.02864949236,0.0876837071721,1.68966503721,0.0169911474483,4.27154325344e-05,0.000881740915844,2.21668046364e-06
23,5.11618111208,0.0923584592607,1.77974750995,0.017602705767,4.35251698045e-05,0.000913477206382,2.25870107963e-06
24,5.20523635847,0.0964941063201,1.85944142879,0.0181078651218,4.40851180079e-05,0.000939692014622,2.28775910783e-06
25,5.28339421009,0.0921093210448,1.77494661653,0.0170684177664,4.10337531191e-05,0.000885750792239,2.12941116342e-06
26,5.33221978242,0.0829977290155,1.59936623813,0.0152658780844,3.64280281981e-05,0.000792209552899,1.89040104817e-06
27,5.37114527993,0.0754354455645,1.45364103603,0.0137958558279,3.2732571747e-05,0.000715924018055,1.69862852865e-06
28,5.40495631771,0.0691568392429,1.33265229221,0.0125868684472,2.9720666492e-05,0.000653184662541,1.54232830784e-06
29,5.45062812859,0.0630455031726,1.21488684614,0.0114026246493,2.6755547092e-05,0.000591729353883,1.38845599855e-06
30,5.54234229368,0.0616260113488,1.18753323869,0.0110135528202,2.55357790777e-05,0.000571538807482,1.32515719137e-06
31,5.63881555132,0.0630190912605,1.21437788859,0.0111319521479,2.55110785091e-05,0.000577683038291,1.32387537671e-06
32,5.736968079,0.0587088616324,1.13131976366,0.0102570057695,2.32485480089e-05,0.000532278451971,1.20646331131e-06
33,5.81550222426,0.0610150936429,1.1757608545,0.010572334584,2.37663675671e-05,0.000548642168345,1.23333510987e-06
34,5.85123616531,0.069173505896,1.33297345862,0.0119428843333,2.67508113679e-05,0.00061976566338,1.38821024224e-06
35,5.86896616647,0.07663329782,1.47672364899,0.0132076499289,2.95319332031e-05,0.00068539958116,1.53253415688e-06
36,5.88740958217,0.0844383862471,1.62712770298,0.0145266676876,3.24227892067e-05,0.000753848868062,1.68255263138e-06
37,5.90591095691,0.0927235333464,1.78678248759,0.0159236189476,3.5477407316e-05,0.000826342446684,1.84106939886e-06
38,5.92911945774,0.101977838254,1.96511294316,0.017474325162,3.88466272298e-05,0.000906815005815,2.01591215515e-06
39,5.9477519071,0.113449714449,2.18617599743,0.0194062070862,4.30661659803e-05,0.00100706834905,2.23488147277e-06
40,5.98284571313,0.124295412443,2.39517259778,0.0211929817547,4.68799697432e-05,0.00109979147663,2.43279552378e-06
41,6.06395289733,0.131107163324,2.52643503725,0.0221948532636,4.87457132414e-05,0.00115178273293,2.52961667054e-06
42,6.13443957567,0.117537231734,2.26494245551,0.0197802236932,4.31862240475e-05,0.00102647761771,2.24111178243e-06
43,6.17181050602,0.106028779622,2.04317458332,0.0177895235567,3.87224800755e-05,0.00092317195416,2.00946964585e-06
44,6.21375556527,0.0961407086305,1.85263145531,0.0160771505648,3.48794102494e-05,0.0008343098373,1.81003685778e-06
45,6.27656741295,0.0881050745482,1.69778478654,0.0146628663523,3.16588491324e-05,0.000760916780089,1.6429086213e-06
