,m_a,xsec_br_2b2mu,br_2b2mu,xsec_br_4tau_type1_tb1,br_4tau_type1_tb1,xsec_br_4tau_type2_tb0p5,br_4tau_type2_tb0p5,xsec_br_4tau_type2_tb5,br_4tau_type2_tb5,xsec_br_4tau_type3_tb0p5,br_4tau_type3_tb0p5,xsec_br_4tau_type3_tb5,br_4tau_type3_tb5,xsec_br_4tau_type4_tb0p5,br_4tau_type4_tb0p5,xsec_br_4tau_type4_tb5,br_4tau_type4_tb5,xsec_br_2tau2mu_type1_tb1,xsec_br_4mu_type1_tb1,br_2tau2mu_type1_tb1,br_4mu_type1_tb1,xsec_br_2tau2mu_type2_tb0p5,xsec_br_4mu_type2_tb0p5,br_2tau2mu_type2_tb0p5,br_4mu_type2_tb0p5,xsec_br_2tau2mu_type2_tb5,xsec_br_4mu_type2_tb5,br_2tau2mu_type2_tb5,br_4mu_type2_tb5,xsec_br_2tau2mu_type3_tb0p5,xsec_br_4mu_type3_tb0p5,br_2tau2mu_type3_tb0p5,br_4mu_type3_tb0p5,xsec_br_2tau2mu_type3_tb5,xsec_br_4mu_type3_tb5,br_2tau2mu_type3_tb5,br_4mu_type3_tb5,xsec_br_2tau2mu_type4_tb0p5,xsec_br_4mu_type4_tb0p5,br_2tau2mu_type4_tb0p5,br_4mu_type4_tb0p5,xsec_br_2tau2mu_type4_tb5,xsec_br_4mu_type4_tb5,br_2tau2mu_type4_tb5,br_4mu_type4_tb5
0,27.5196850394,0.00476644344691,0.000247350464292,0.0490262679997,0.00254417581732,0.0490262679997,0.00254417581732,0.0490262679997,0.00254417581732,0.00306414174998,0.000159010988582,30.6414174998,1.59010988582,0.784420287996,0.0407068130771,7.84420287996e-05,4.07068130771e-06,0.000352224663495,6.32631335382e-07,1.82783945768e-05,3.28298565326e-08,0.000352224663495,6.32631335382e-07,1.82783945768e-05,3.28298565326e-08,0.000352224663495,6.32631335382e-07,1.82783945768e-05,3.28298565326e-08,2.20140414684e-05,3.95394584614e-08,1.14239966105e-06,2.05186603328e-09,0.220140414684,0.000395394584614,0.0114239966105,2.05186603328e-05,0.00563559461591,1.01221013661e-05,0.000292454313229,5.25277704521e-07,5.63559461591e-07,1.01221013661e-09,2.92454313229e-08,5.25277704521e-11
1,28.0393700787,0.00675758333947,0.000350678948597,0.0698219667002,0.00362335063312,0.0698219667002,0.00362335063312,0.0698219667002,0.00362335063312,0.00436387291876,0.00022645941457,43.6387291876,2.2645941457,1.1171514672,0.0579736101299,0.00011171514672,5.79736101299e-06,0.000501473995282,9.00419237058e-07,2.60235596929e-05,4.67264783112e-08,0.000501473995282,9.00419237058e-07,2.60235596929e-05,4.67264783112e-08,0.000501473995282,9.00419237058e-07,2.60235596929e-05,4.67264783112e-08,3.13421247051e-05,5.62762023161e-08,1.62647248081e-06,2.92040489445e-09,0.313421247051,0.000562762023161,0.0162647248081,2.92040489445e-05,0.00802358392451,1.44067077929e-05,0.000416376955086,7.4762365298e-07,8.02358392451e-07,1.44067077929e-09,4.16376955086e-08,7.4762365298e-11
2,28.5354330709,0.00670197218338,0.000347793055702,0.0695421854741,0.00360883162813,0.0695421854741,0.00360883162813,0.0695421854741,0.00360883162813,0.00434638659213,0.000225551976758,43.4638659213,2.25551976758,1.11267496758,0.0577413060501,0.000111267496758,5.77413060501e-06,0.000499324728381,8.96309134785e-07,2.59120253441e-05,4.65131881051e-08,0.000499324728381,8.96309134785e-07,2.59120253441e-05,4.65131881051e-08,0.000499324728381,8.96309134785e-07,2.59120253441e-05,4.65131881051e-08,3.12077955238e-05,5.60193209241e-08,1.61950158401e-06,2.90707425657e-09,0.312077955238,0.000560193209241,0.0161950158401,2.90707425657e-05,0.0079891956541,1.43409461566e-05,0.000414592405506,7.44211009681e-07,7.9891956541e-07,1.43409461566e-09,4.14592405506e-08,7.44211009681e-11
3,29.0078740157,0.00516035764221,0.000267792301101,0.0537593879476,0.00278979698742,0.0537593879476,0.00278979698742,0.0537593879476,0.00278979698742,0.00335996174673,0.000174362311714,33.5996174673,1.74362311714,0.860150207162,0.0446367517988,8.60150207162e-05,4.46367517988e-06,0.000385903801267,6.92538315248e-07,2.00261443314e-05,3.59386774908e-08,0.000385903801267,6.92538315248e-07,2.00261443314e-05,3.59386774908e-08,0.000385903801267,6.92538315248e-07,2.00261443314e-05,3.59386774908e-08,2.41189875792e-05,4.3283644703e-08,1.25163402071e-06,2.24616734318e-09,0.241189875792,0.00043283644703,0.0125163402071,2.24616734318e-05,0.00617446082027,1.1080613044e-05,0.000320418309303,5.75018839853e-07,6.17446082027e-07,1.1080613044e-09,3.20418309303e-08,5.75018839853e-11
4,29.5275590551,0.00642252557215,0.000333291415265,0.0671971226163,0.00348713661735,0.0671971226163,0.00348713661735,0.0671971226163,0.00348713661735,0.00419982016352,0.000217946038584,41.9982016352,2.17946038584,1.07515396186,0.0557941858775,0.000107515396186,5.57941858775e-06,0.000482236996228,8.65187791816e-07,2.50252722485e-05,4.48981729017e-08,0.000482236996228,8.65187791816e-07,2.50252722485e-05,4.48981729017e-08,0.000482236996228,8.65187791816e-07,2.50252722485e-05,4.48981729017e-08,3.01398122643e-05,5.40742369885e-08,1.56407951553e-06,2.80613580636e-09,0.301398122643,0.000540742369885,0.0156407951553,2.80613580636e-05,0.00771579193965,1.38430046691e-05,0.000400404355976,7.18370766428e-07,7.71579193965e-07,1.38430046691e-09,4.00404355976e-08,7.18370766428e-11
5,30.0236220472,0.00589027890205,0.000305670934201,0.0618779594166,0.00321110323906,0.0618779594166,0.00321110323906,0.0618779594166,0.00321110323906,0.00386737246354,0.000200693952441,38.6737246354,2.00693952441,0.990047350666,0.0513776518249,9.90047350666e-05,5.13776518249e-06,0.000443957843711,7.96319759291e-07,2.30388087032e-05,4.13243258584e-08,0.000443957843711,7.96319759291e-07,2.30388087032e-05,4.13243258584e-08,0.000443957843711,7.96319759291e-07,2.30388087032e-05,4.13243258584e-08,2.77473652319e-05,4.97699849557e-08,1.43992554395e-06,2.58277036615e-09,0.277473652319,0.000497699849557,0.0143992554395,2.58277036615e-05,0.00710332549937,1.27411161487e-05,0.000368620939251,6.61189213734e-07,7.10332549937e-07,1.27411161487e-09,3.68620939251e-08,6.61189213734e-11
6,30.4960629921,0.00460100080948,0.000238764961571,0.0485173933808,0.00251776820866,0.0485173933808,0.00251776820866,0.0485173933808,0.00251776820866,0.0030323370863,0.000157360513041,30.323370863,1.57360513041,0.776278294093,0.0402842913385,7.76278294093e-05,4.02842913385e-06,0.000348023682329,6.24108567165e-07,1.8060388289e-05,3.23875748399e-08,0.000348023682329,6.24108567165e-07,1.8060388289e-05,3.23875748399e-08,0.000348023682329,6.24108567165e-07,1.8060388289e-05,3.23875748399e-08,2.17514801456e-05,3.90067854478e-08,1.12877426806e-06,2.02422342749e-09,0.217514801456,0.000390067854478,0.0112877426806,2.02422342749e-05,0.00556837891726,9.98573707464e-06,0.000288966212624,5.18201197438e-07,5.56837891726e-07,9.98573707464e-10,2.88966212624e-08,5.18201197438e-11
7,31.0393700787,0.00465758333947,0.000241701263076,0.0493248874667,0.00255967241654,0.0493248874667,0.00255967241654,0.0493248874667,0.00255967241654,0.00308280546667,0.000159979526034,30.8280546667,1.59979526034,0.789198199467,0.0409547586646,7.89198199467e-05,4.09547586646e-06,0.0003537318771,6.34194254173e-07,1.83566101245e-05,3.29109628528e-08,0.0003537318771,6.34194254173e-07,1.83566101245e-05,3.29109628528e-08,0.0003537318771,6.34194254173e-07,1.83566101245e-05,3.29109628528e-08,2.21082423187e-05,3.96371408858e-08,1.14728813278e-06,2.0569351783e-09,0.221082423187,0.000396371408858,0.0114728813278,2.0569351783e-05,0.00565971003359,1.01471080668e-05,0.000293705761992,5.26575405645e-07,5.65971003359e-07,1.01471080668e-09,2.93705761992e-08,5.26575405645e-11
8,31.5118110236,0.00499447347119,0.000259183885376,0.0530867453612,0.00275489078159,0.0530867453612,0.00275489078159,0.0530867453612,0.00275489078159,0.00331792158508,0.000172180673849,33.1792158508,1.72180673849,0.849387925779,0.0440782525054,8.49387925779e-05,4.40782525054e-06,0.000380635038844,6.82293818401e-07,1.97527264579e-05,3.54070481786e-08,0.000380635038844,6.82293818401e-07,1.97527264579e-05,3.54070481786e-08,0.000380635038844,6.82293818401e-07,1.97527264579e-05,3.54070481786e-08,2.37896899278e-05,4.26433636501e-08,1.23454540362e-06,2.21294051116e-09,0.237896899278,0.000426433636501,0.0123454540362,2.21294051116e-05,0.00609016062151,1.09167010944e-05,0.000316043623327,5.66512770857e-07,6.09016062151e-07,1.09167010944e-09,3.16043623327e-08,5.66512770857e-11
9,32.031496063,0.0053033703731,0.000275213823202,0.0565939880959,0.00293689611292,0.0565939880959,0.00293689611292,0.0565939880959,0.00293689611292,0.00353712425599,0.000183556007057,35.3712425599,1.83556007057,0.905503809534,0.0469903378067,9.05503809534e-05,4.69903378067e-06,0.000405698456876,7.27070327827e-07,2.1053370881e-05,3.77306864466e-08,0.000405698456876,7.27070327827e-07,2.1053370881e-05,3.77306864466e-08,0.000405698456876,7.27070327827e-07,2.1053370881e-05,3.77306864466e-08,2.53561535548e-05,4.54418954892e-08,1.31583568006e-06,2.35816790291e-09,0.253561535548,0.000454418954892,0.0131583568006,2.35816790291e-05,0.00649117531002,1.16331252452e-05,0.000336853934095,6.03690983146e-07,6.49117531002e-07,1.16331252452e-09,3.36853934095e-08,6.03690983146e-11
10,32.5511811024,0.00555619250865,0.000288333809478,0.059523555889,0.00308892350228,0.059523555889,0.00308892350228,0.059523555889,0.00308892350228,0.00372022224306,0.000193057718893,37.2022224306,1.93057718893,0.952376894224,0.0494227760365,9.52376894224e-05,4.94227760365e-06,0.0004266154794,7.64406479693e-07,2.21388416917e-05,3.96682137879e-08,0.0004266154794,7.64406479693e-07,2.21388416917e-05,3.96682137879e-08,0.0004266154794,7.64406479693e-07,2.21388416917e-05,3.96682137879e-08,2.66634674625e-05,4.77754049808e-08,1.38367760573e-06,2.47926336174e-09,0.266634674625,0.000477754049808,0.0138367760573,2.47926336174e-05,0.0068258476704,1.22305036751e-05,0.000354221467068,6.34691420606e-07,6.8258476704e-07,1.22305036751e-09,3.54221467068e-08,6.34691420606e-11
11,33.0236220472,0.00681831628523,0.000353830632342,0.0732999562769,0.00380383789709,0.0732999562769,0.00380383789709,0.0732999562769,0.00380383789709,0.00458124726731,0.000237739868568,45.8124726731,2.37739868568,1.17279930043,0.0608614063534,0.000117279930043,6.08614063534e-06,0.000525263707599,9.4100316199e-07,2.72581062584e-05,4.88325460296e-08,0.000525263707599,9.4100316199e-07,2.72581062584e-05,4.88325460296e-08,0.000525263707599,9.4100316199e-07,2.72581062584e-05,4.88325460296e-08,3.2828981725e-05,5.88126976244e-08,1.70363164115e-06,3.05203412685e-09,0.32828981725,0.000588126976244,0.0170363164115,3.05203412685e-05,0.00840421932159,1.50560505918e-05,0.000436129700135,7.81320736473e-07,8.40421932159e-07,1.50560505918e-09,4.36129700135e-08,7.81320736473e-11
12,33.5196850394,0.0101832658768,0.000528451783955,0.109870234471,0.0057016208859,0.109870234471,0.0057016208859,0.109870234471,0.0057016208859,0.00686688965446,0.000356351305369,68.6688965446,3.56351305369,1.75792375154,0.0912259341744,0.000175792375154,9.12259341744e-06,0.000787189579426,1.40999843347e-06,4.08505230631e-05,7.31706504134e-08,0.000787189579426,1.40999843347e-06,4.08505230631e-05,7.31706504134e-08,0.000787189579426,1.40999843347e-06,4.08505230631e-05,7.31706504134e-08,4.91993487141e-05,8.81249020916e-08,2.55315769144e-06,4.57316565084e-09,0.491993487141,0.000881249020916,0.0255315769144,4.57316565084e-05,0.0125950332708,2.25599749355e-05,0.000653608369009,1.17073040661e-06,1.25950332708e-06,2.25599749355e-09,6.53608369009e-08,1.17073040661e-10
13,34.0157480315,0.0129594304217,0.0006725184443,0.1403204355,0.00728180775818,0.1403204355,0.00728180775818,0.1403204355,0.00728180775818,0.00877002721875,0.000455112984886,87.7002721875,4.55112984886,2.245126968,0.116508924131,0.0002245126968,1.16508924131e-05,0.00100519210702,1.80018535505e-06,5.216357587e-05,9.3419063573e-08,0.00100519210702,1.80018535505e-06,5.216357587e-05,9.3419063573e-08,0.00100519210702,1.80018535505e-06,5.216357587e-05,9.3419063573e-08,6.28245066885e-05,1.12511584691e-07,3.26022349188e-06,5.83869147331e-09,0.628245066885,0.00112511584691,0.0326022349188,5.83869147331e-05,0.0160830737123,2.88029656808e-05,0.000834617213921,1.49470501717e-06,1.60830737123e-06,2.88029656808e-09,8.34617213921e-08,1.49470501717e-10
14,34.5354330709,0.0106888880712,0.000554690610858,0.116160245251,0.00602803556049,0.116160245251,0.00602803556049,0.116160245251,0.00602803556049,0.00726001532816,0.00037675222253,72.6001532816,3.7675222253,1.85856392401,0.0964485689678,0.000185856392401,9.64485689678e-06,0.000831982950196,1.48974295794e-06,4.31750363361e-05,7.73089236085e-08,0.000831982950196,1.48974295794e-06,4.31750363361e-05,7.73089236085e-08,0.000831982950196,1.48974295794e-06,4.31750363361e-05,7.73089236085e-08,5.19989343872e-05,9.31089348709e-08,2.698439771e-06,4.83180772553e-09,0.519989343872,0.000931089348709,0.02698439771,4.83180772553e-05,0.0133117272031,2.3835887327e-05,0.000690800581377,1.23694277774e-06,1.33117272031e-06,2.3835887327e-09,6.90800581377e-08,1.23694277774e-10
15,35.031496063,0.00990430495254,0.000513975347822,0.108004776478,0.00560481455518,0.108004776478,0.00560481455518,0.108004776478,0.00560481455518,0.0067502985299,0.000350300909699,67.502985299,3.50300909699,1.72807642365,0.0896770328829,0.000172807642365,8.96770328829e-06,0.00077345459484,1.3847350779e-06,4.01377579056e-05,7.18596304046e-08,0.00077345459484,1.3847350779e-06,4.01377579056e-05,7.18596304046e-08,0.00077345459484,1.3847350779e-06,4.01377579056e-05,7.18596304046e-08,4.83409121775e-05,8.65459423685e-08,2.5086098691e-06,4.49122690029e-09,0.483409121775,0.000865459423685,0.025086098691,4.49122690029e-05,0.0123752735174,2.21557612463e-05,0.000642204126489,1.14975408647e-06,1.23752735174e-06,2.21557612463e-09,6.42204126489e-08,1.14975408647e-10
16,35.5275590551,0.0102692545441,0.000532914091547,0.112364524716,0.005831059923,0.112364524716,0.005831059923,0.112364524716,0.005831059923,0.00702278279477,0.000364441245188,70.2278279477,3.64441245188,1.79783239546,0.0932969587681,0.000179783239546,9.32969587681e-06,0.000804560597569,1.44021824681e-06,4.17519770404e-05,7.47388815156e-08,0.000804560597569,1.44021824681e-06,4.17519770404e-05,7.47388815156e-08,0.000804560597569,1.44021824681e-06,4.17519770404e-05,7.47388815156e-08,5.02850373481e-05,9.00136404254e-08,2.60949856503e-06,4.67118009473e-09,0.502850373481,0.000900136404254,0.0260949856503,4.67118009473e-05,0.0128729695611,2.30434919489e-05,0.000668031632647,1.19582210425e-06,1.28729695611e-06,2.30434919489e-09,6.68031632647e-08,1.19582210425e-10
17,36.0236220472,0.00707345647215,0.000367070911891,0.0776553251466,0.00402985600138,0.0776553251466,0.00402985600138,0.0776553251466,0.00402985600138,0.00485345782166,0.000251866000086,48.5345782166,2.51866000086,1.24248520235,0.0644776960221,0.000124248520235,6.44776960221e-06,0.000555956786407,9.95063595989e-07,2.88508970632e-05,5.16379655417e-08,0.000555956786407,9.95063595989e-07,2.88508970632e-05,5.16379655417e-08,0.000555956786407,9.95063595989e-07,2.88508970632e-05,5.16379655417e-08,3.47472991504e-05,6.21914747493e-08,1.80318106645e-06,3.22737284636e-09,0.347472991504,0.000621914747493,0.0180318106645,3.22737284636e-05,0.00889530858251,1.59210175358e-05,0.000461614353011,8.26207448667e-07,8.89530858251e-07,1.59210175358e-09,4.61614353011e-08,8.26207448667e-11
18,36.5196850394,0.00595242475532,0.00030889593956,0.065563355353,0.00340235367685,0.065563355353,0.00340235367685,0.065563355353,0.00340235367685,0.00409770970956,0.000212647104803,40.9770970956,2.12647104803,1.04901368565,0.0544376588297,0.000104901368565,5.44376588297e-06,0.000469324959701,8.3989721321e-07,2.43552132694e-05,4.3585740177e-08,0.000469324959701,8.3989721321e-07,2.43552132694e-05,4.3585740177e-08,0.000469324959701,8.3989721321e-07,2.43552132694e-05,4.3585740177e-08,2.93328099813e-05,5.24935758256e-08,1.52220082934e-06,2.72410876106e-09,0.293328099813,0.000524935758256,0.0152220082934,2.72410876106e-05,0.00750919935522,1.34383554114e-05,0.00038968341231,6.97371842831e-07,7.50919935522e-07,1.34383554114e-09,3.8968341231e-08,6.97371842831e-11
19,37.0157480315,0.00797157995437,0.000413678253989,0.0880883189361,0.00457126719959,0.0880883189361,0.00457126719959,0.0880883189361,0.00457126719959,0.00550551993351,0.000285704199974,55.0551993351,2.85704199974,1.40941310298,0.0731402751934,0.000140941310298,7.31402751934e-06,0.000630486499916,1.12816668367e-06,3.27185521492e-05,5.85452352708e-08,0.000630486499916,1.12816668367e-06,3.27185521492e-05,5.85452352708e-08,0.000630486499916,1.12816668367e-06,3.27185521492e-05,5.85452352708e-08,3.94054062448e-05,7.05104177293e-08,2.04490950933e-06,3.65907720443e-09,0.394054062448,0.000705104177293,0.0204490950933,3.65907720443e-05,0.0100877839987,1.80506669387e-05,0.000523496834388,9.36723764333e-07,1.00877839987e-06,1.80506669387e-09,5.23496834388e-08,9.36723764333e-11
20,37.5354330709,0.0092617852675,0.000480632343928,0.102688129489,0.00532891175343,0.102688129489,0.00532891175343,0.102688129489,0.00532891175343,0.00641800809303,0.000333056984589,64.1800809303,3.33056984589,1.64301007182,0.0852625880548,0.000164301007182,8.52625880548e-06,0.000734890139881,1.31481486805e-06,3.81364888366e-05,6.82311815282e-08,0.000734890139881,1.31481486805e-06,3.81364888366e-05,6.82311815282e-08,0.000734890139881,1.31481486805e-06,3.81364888366e-05,6.82311815282e-08,4.59306337426e-05,8.21759292531e-08,2.38353055229e-06,4.26444884552e-09,0.459306337426,0.000821759292531,0.0238353055229,4.26444884552e-05,0.0117582422381,2.10370378888e-05,0.000610183821386,1.09169890445e-06,1.17582422381e-06,2.10370378888e-09,6.10183821386e-08,1.09169890445e-10
21,38.031496063,0.00805664140113,0.000418092444273,0.0896075682904,0.00465010733214,0.0896075682904,0.00465010733214,0.0896075682904,0.00465010733214,0.00560047301815,0.000290631708259,56.0047301815,2.90631708259,1.43372109265,0.0744017173143,0.000143372109265,7.44017173143e-06,0.0006412039706,1.14706419267e-06,3.32747260301e-05,5.95259051723e-08,0.0006412039706,1.14706419267e-06,3.32747260301e-05,5.95259051723e-08,0.0006412039706,1.14706419267e-06,3.32747260301e-05,5.95259051723e-08,4.00752481625e-05,7.16915120419e-08,2.07967037688e-06,3.72036907327e-09,0.400752481625,0.000716915120419,0.0207967037688,3.72036907327e-05,0.0102592635296,1.83530270827e-05,0.000532395616481,9.52414482757e-07,1.02592635296e-06,1.83530270827e-09,5.32395616481e-08,9.52414482757e-11
